Gene Symbol,Compartment
ACTG1,Actin binding proteins
ACTN1,Actin binding proteins
ACTN4,Actin binding proteins
CALD1,Actin binding proteins
CORO1B,Actin binding proteins
CORO1C,Actin binding proteins
CORO2A,Actin binding proteins
CTTN,Actin binding proteins
DBN1,Actin binding proteins
DBNL,Actin binding proteins
FLNA,Actin binding proteins
FLNB,Actin binding proteins
LIMCH1,Actin binding proteins
LRRFIP2,Actin binding proteins
MPDZ,Actin binding proteins
MPRIP,Actin binding proteins
MYH10,Actin binding proteins
MYH9,Actin binding proteins
MYL12B,Actin binding proteins
MYL6,Actin binding proteins
MYL6B,Actin binding proteins
MYO18A,Actin binding proteins
PALLD,Actin binding proteins
PDLIM1,Actin binding proteins
PDLIM7,Actin binding proteins
PLS1,Actin binding proteins
PLS3,Actin binding proteins
PPP1R12A,Actin binding proteins
PPP1R18,Actin binding proteins
PPP1R9B,Actin binding proteins
RAI14,Actin binding proteins
SH3BGRL3,Actin binding proteins
SIPA1,Actin binding proteins
SORBS2,Actin binding proteins
SPTAN1,Actin binding proteins
SPTBN1,Actin binding proteins
SPTBN2,Actin binding proteins
SVIL,Actin binding proteins
TJP1,Actin binding proteins
TJP2,Actin binding proteins
TLN1,Actin binding proteins
TNS1,Actin binding proteins
UTRN,Actin binding proteins
ZYX,Actin binding proteins
BLOC1S1,Endosome
FTH1,Endosome
NBR1,Endosome
RAB11FIP5,Endosome
SND1,Endosome
RAB11B,Endosome
ABCA2,Endosome
ABHD17B,Endosome
AGTRAP,Endosome
ALDH16A1,Endosome
ANKFY1,Endosome
ANKRD27,Endosome
AP1AR,Endosome
AP3B1,Endosome
AP3D1,Endosome
AP3M1,Endosome
AP3S1,Endosome
APLP2,Endosome
APP,Endosome
ARL8A,Endosome
ARL8B,Endosome
ATG9A,Endosome
ATP6AP1,Endosome
ATP6V0A1,Endosome
ATP6V0A2,Endosome
ATP6V0D1,Endosome
ATP6V1A,Endosome
ATP6V1B2,Endosome
ATP6V1C1,Endosome
ATP6V1D,Endosome
ATP6V1E1,Endosome
ATP6V1G1,Endosome
ATP6V1H,Endosome
ATP9A,Endosome
BECN1,Endosome
BLOC1S2,Endosome
BLOC1S3,Endosome
BORCS5,Endosome
BORCS6,Endosome
BORCS7,Endosome
CHMP1A,Endosome
CLCN3,Endosome
DAGLB,Endosome
DENND6A,Endosome
DERA,Endosome
DNAJC13,Endosome
ECE1,Endosome
EEA1,Endosome
EHD1,Endosome
EHD4,Endosome
FKBP15,Endosome
FRYL,Endosome
GABARAPL2,Endosome
GATD1,Endosome
GDAP2,Endosome
HGS,Endosome
HPS3,Endosome
IGF2R,Endosome
IST1,Endosome
ITFG1,Endosome
KMT2C,Endosome
KXD1,Endosome
LDLR,Endosome
LGR4,Endosome
LMBRD1,Endosome
LMBRD2,Endosome
LNPEP,Endosome
LRP1,Endosome
LRP8,Endosome
M6PR,Endosome
MAP1LC3B,Endosome
MFSD4B,Endosome
MITD1,Endosome
MON1B,Endosome
MRC2,Endosome
MYOF,Endosome
OCRL,Endosome
PI4K2A,Endosome
PIK3R4,Endosome
PLD1,Endosome
PPP1R21,Endosome
PSEN2,Endosome
PTPN9,Endosome
RAB11FIP1,Endosome
RAB14,Endosome
RAB17,Endosome
RAB4A,Endosome
RAB9A,Endosome
RMC1,Endosome
SCAMP1,Endosome
SCAMP2,Endosome
SCAMP3,Endosome
SCYL2,Endosome
SEMA4C,Endosome
SEZ6L2,Endosome
SLC12A6,Endosome
SLC12A9,Endosome
SLC35F2,Endosome
