,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,Organism
8431,MARCH1,Q5VT66,Mitochondrion-OM,0,1,0,0,human
8432,MARCH2,Q969Z3,Mitochondrion-OM,0,1,0,0,human
8829,MARCH5,Q9NX47,Mitochondria,0,1,0,0,human
9331,MARCH6,O60337,ER,0,0,0,1,human
10752,SEPT2,Q15019,Large Protein Complex,0,0,0,1,human
10753,SEPT6,Q14141,Large Protein Complex,0,0,0,1,human
10754,SEPT7,Q16181,Large Protein Complex,0,0,0,1,human
11323,SEPT7,Q16181-2,Large Protein Complex,0,0,0,1,human
11009,SEPT8,Q92599,Large Protein Complex,0,0,0,1,human
10364,SEPT9,Q9UHD8,Large Protein Complex,0,0,0,1,human
10750,SEPT10,Q9P0V9,Large Protein Complex,0,0,0,1,human
10751,SEPT11,Q9NVA2,Large Protein Complex,0,0,0,1,human
1,A3GALT2,U3KPV4,Golgi,1,0,0,0,human
2,A4GALT,Q9NPC4,Golgi,1,0,0,0,human
3,A4GNT,Q9UNA3,Golgi,1,0,0,0,human
9383,AAAS,Q9NRG9,ER,0,0,0,1,human
4,AACS,Q86V21,Cytoplasm,1,0,0,0,human
5,AADAC,P22760,ER,1,0,0,0,human
6,AADAT,Q8N5Z0,Mitochondria,1,0,0,0,human
7,AAGAB,Q6PD74,Cytoplasm,1,0,0,0,human
8,AAK1,Q2M2I8,Plasma membrane,1,0,0,0,human
10815,AAMP,Q13685,Large Protein Complex,0,0,0,1,human
9,AANAT,Q16613,Cytoplasm,1,0,0,0,human
10,AARS1,P49588,Cytoplasm,1,0,0,0,human
11,AARS2,Q5JTZ9,Mitochondria,1,0,0,0,human
12,AARSD1,Q9BTE6,Cytoplasm,1,0,0,0,human
13,AASDHPPT,Q9NRN7,Cytoplasm,1,0,0,0,human
14,AASS,Q9UDR5,Mitochondria,1,0,0,0,human
15,AATF,Q9NY61,Nucleus,1,0,0,0,human
16,ABAT,P80404,Mitochondria,1,0,0,0,human
8839,ABCA13,Q86UQ4,Mitochondria,0,1,0,0,human
8138,ABCA2,Q9BZC7,Endosome,0,1,0,0,human
17,ABCA3,Q99758,Lysosome,1,0,0,0,human
18,ABCA4,P78363,ER,1,0,0,0,human
19,ABCA8,O94911,Plasma membrane,1,0,0,0,human
20,ABCB1,P08183,Plasma membrane,1,0,0,0,human
21,ABCB10,Q9NRK6,Mitochondria,1,0,0,0,human
22,ABCB5,Q2M3G0,Plasma membrane,1,0,0,0,human
8357,ABCB6,Q9NP58,Lysosome,0,1,0,0,human
23,ABCB7,O75027,Mitochondria,1,0,0,0,human
24,ABCB8,Q9NUT2,Mitochondria,1,0,0,0,human
25,ABCB9,Q9NP78,Lysosome,1,0,0,0,human
26,ABCC1,P33527,Plasma membrane,1,0,0,0,human
27,ABCC10,Q5T3U5,Plasma membrane,1,0,0,0,human
28,ABCC2,Q92887,Plasma membrane,1,0,0,0,human
9655,ABCC3,O15438,Plasma membrane,0,0,0,1,human
8562,ABCC4,O15439,Plasma membrane,0,1,0,0,human
8563,ABCC5,O15440,Plasma membrane,0,1,0,0,human
29,ABCC8,Q09428,Plasma membrane,1,0,0,0,human
8556,ABCD1,P33897,Peroxisome,0,1,0,0,human
30,ABCD2,Q9UBJ2,Peroxisome,1,0,0,0,human
31,ABCD3,P28288,Peroxisome,1,0,0,0,human
32,ABCD4,O14678,Peroxisome,1,0,0,0,human
9138,ABCE1,P61221,Endosome,0,0,1,0,human
11067,ABCF1,Q8NE71,Large Protein Complex,0,0,0,1,human
8840,ABCF2,Q9UG63,Mitochondria,0,1,0,0,human
9836,ABCF3,Q9NUQ8,Large Protein Complex,0,0,0,1,human
9583,ABCG2,Q9UNQ0,Plasma membrane,0,0,0,1,human
33,ABCG5,Q9H222,Plasma membrane,1,0,0,0,human
34,ABCG8,Q9H221,Plasma membrane,1,0,0,0,human
35,ABHD10,Q9NUJ1,Mitochondria,1,0,0,0,human
8841,ABHD11,Q8NFV4,Mitochondria,0,1,0,0,human
36,ABHD12,Q8N2K0,ER,1,0,0,0,human
9157,ABHD13,Q7L211,Endosome,0,0,1,0,human
11207,ABHD14B,Q96IU4,Large Protein Complex,0,0,0,1,human
9354,ABHD16A,O95870,ER,0,0,0,1,human
9059,ABHD17A,Q96GS6,Endosome,0,0,1,0,human
8139,ABHD17B,Q5VST6,Endosome,0,1,0,0,human
37,ABHD17C,Q6PCB6,Endosome,1,0,0,0,human
38,ABHD2,P08910,Plasma membrane,1,0,0,0,human
