num,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,KH_golgi,Organism,Uniprot_GO
8431,1-Mar,Q5VT66,Mitochondrion-OM,0,1,0,0,0,human,0
8432,2-Mar,Q969Z3,Mitochondrion-OM,0,1,0,0,0,human,0
8829,5-Mar,Q9NX47,Mitochondria,0,1,0,0,0,human,0
9331,6-Mar,O60337,ER,0,0,0,1,0,human,0
10752,2-Sep,Q15019,Large Protein Complex,0,0,0,1,0,human,0
10753,6-Sep,Q14141,Large Protein Complex,0,0,0,1,0,human,0
10754,7-Sep,Q16181,Large Protein Complex,0,0,0,1,0,human,0
11323,7-Sep,Q16181-2,Large Protein Complex,0,0,0,1,0,human,0
11009,8-Sep,Q92599,Large Protein Complex,0,0,0,1,0,human,0
10364,9-Sep,Q9UHD8,Large Protein Complex,0,0,0,1,0,human,0
10750,10-Sep,Q9P0V9,Large Protein Complex,0,0,0,1,0,human,0
10751,11-Sep,Q9NVA2,Large Protein Complex,0,0,0,1,0,human,0
1,A3GALT2,U3KPV4,Golgi,1,0,0,0,0,human,0
2,A4GALT,Q9NPC4,Golgi,1,0,0,0,0,human,0
3,A4GNT,Q9UNA3,Golgi,1,0,0,0,0,human,0
9383,AAAS,Q9NRG9,ER,0,0,0,1,0,human,0
4,AACS,Q86V21,Cytoplasm,1,0,0,0,0,human,0
5,AADAC,P22760,ER,1,0,0,0,0,human,0
6,AADAT,Q8N5Z0,Mitochondria,1,0,0,0,0,human,0
7,AAGAB,Q6PD74,Cytoplasm,1,0,0,0,0,human,0
8,AAK1,Q2M2I8,Plasma membrane,1,0,0,0,0,human,0
10815,AAMP,Q13685,Large Protein Complex,0,0,0,1,0,human,0
9,AANAT,Q16613,Cytoplasm,1,0,0,0,0,human,0
10,AARS1,P49588,Cytoplasm,1,0,0,0,0,human,0
11,AARS2,Q5JTZ9,Mitochondria,1,0,0,0,0,human,0
12,AARSD1,Q9BTE6,Cytoplasm,1,0,0,0,0,human,0
13,AASDHPPT,Q9NRN7,Cytoplasm,1,0,0,0,0,human,0
14,AASS,Q9UDR5,Mitochondria,1,0,0,0,0,human,0
15,AATF,Q9NY61,Nucleus,1,0,0,0,0,human,0
16,ABAT,P80404,Mitochondria,1,0,0,0,0,human,0
8839,ABCA13,Q86UQ4,Mitochondria,0,1,0,0,0,human,0
8138,ABCA2,Q9BZC7,Endosome,0,1,0,0,0,human,0
17,ABCA3,Q99758,Lysosome,1,0,0,0,0,human,0
18,ABCA4,P78363,ER,1,0,0,0,0,human,0
19,ABCA8,O94911,Plasma membrane,1,0,0,0,0,human,0
20,ABCB1,P08183,Plasma membrane,1,0,0,0,0,human,0
21,ABCB10,Q9NRK6,Mitochondria,1,0,0,0,0,human,0
22,ABCB5,Q2M3G0,Plasma membrane,1,0,0,0,0,human,0
8357,ABCB6,Q9NP58,Lysosome,0,1,0,0,0,human,0
23,ABCB7,O75027,Mitochondria,1,0,0,0,0,human,0
24,ABCB8,Q9NUT2,Mitochondria,1,0,0,0,0,human,0
25,ABCB9,Q9NP78,Lysosome,1,0,0,0,0,human,0
26,ABCC1,P33527,Plasma membrane,1,0,0,0,0,human,0
27,ABCC10,Q5T3U5,Plasma membrane,1,0,0,0,0,human,0
28,ABCC2,Q92887,Plasma membrane,1,0,0,0,0,human,0
9655,ABCC3,O15438,Plasma membrane,0,0,0,1,0,human,0
8562,ABCC4,O15439,Plasma membrane,0,1,0,0,0,human,0
8563,ABCC5,O15440,Plasma membrane,0,1,0,0,0,human,0
29,ABCC8,Q09428,Plasma membrane,1,0,0,0,0,human,0
8556,ABCD1,P33897,Peroxisome,0,1,0,0,0,human,0
30,ABCD2,Q9UBJ2,Peroxisome,1,0,0,0,0,human,0
31,ABCD3,P28288,Peroxisome,1,0,0,0,0,human,0
32,ABCD4,O14678,Peroxisome,1,0,0,0,0,human,0
9138,ABCE1,P61221,Endosome,0,0,1,0,0,human,0
11067,ABCF1,Q8NE71,Large Protein Complex,0,0,0,1,0,human,0
8840,ABCF2,Q9UG63,Mitochondria,0,1,0,0,0,human,0
9836,ABCF3,Q9NUQ8,Large Protein Complex,0,0,0,1,0,human,0
9583,ABCG2,Q9UNQ0,Plasma membrane,0,0,0,1,0,human,0
33,ABCG5,Q9H222,Plasma membrane,1,0,0,0,0,human,0
34,ABCG8,Q9H221,Plasma membrane,1,0,0,0,0,human,0
35,ABHD10,Q9NUJ1,Mitochondria,1,0,0,0,0,human,0
8841,ABHD11,Q8NFV4,Mitochondria,0,1,0,0,0,human,0
36,ABHD12,Q8N2K0,ER,1,0,0,0,0,human,0
