Gene Symbol,UserAnnotation
ARL6IP1,ER_high_curvature
ATL1,ER_high_curvature
ATL2,ER_high_curvature
ATL3,ER_high_curvature
DNAJC5,ER_high_curvature
ENDOD1,ER_high_curvature
OSBPL3,ER_high_curvature
PTPN2,ER_high_curvature
RAB18,ER_high_curvature
REEP1,ER_high_curvature
REEP2,ER_high_curvature
REEP3,ER_high_curvature
REEP5,ER_high_curvature
REEP4,ER_high_curvature
REEP6,ER_high_curvature
FAM134B,ER_high_curvature
RTN1,ER_high_curvature
RTN2,ER_high_curvature
RTN3,ER_high_curvature
RTN4,ER_high_curvature
SEC22B,ER_high_curvature
LNP,ER_high_curvature
ZFYVE27,ER_high_curvature
CKAP4,ER_sheet
KTN1,ER_sheet
RRBP1,ER_sheet
CCPG1,Receptor
FAM134A,Receptor
FAM134C,Receptor
TEX264,ER-Membrane
SEC62,ER-Membrane
FKBP10,ER-Lumen
P4HB,ER-Lumen
RCN2,ER-Lumen
TXNDC12,ER-Lumen
ALG6,ER-Lumen
ALG8,ER-Lumen
BTD,ER-Lumen
CALR,ER-Lumen
CALU,ER-Lumen
CCDC134,ER-Lumen
CNPY2,ER-Lumen
COL4A2,ER-Lumen
COLGALT1,ER-Lumen
CRTAP,ER-Lumen
DNAJB11,ER-Lumen
DNAJC10,ER-Lumen
DNAJC3,ER-Lumen
EDEM3,ER-Lumen
EOGT,ER-Lumen
ERAP1,ER-Lumen
ERLEC1,ER-Lumen
ERO1A,ER-Lumen
ERP29,ER-Lumen
FKBP14,ER-Lumen
FKBP2,ER-Lumen
FKBP9,ER-Lumen
FNDC3A,ER-Lumen
FNDC3B,ER-Lumen
GANAB,ER-Lumen
HSP90B1,ER-Lumen
HSPA5,ER-Lumen
HYOU1,ER-Lumen
IKBIP,ER-Lumen
KDELC1,ER-Lumen
KDELC2,ER-Lumen
KTN1,ER-Lumen
LGALS3BP,ER-Lumen
MANF,ER-Lumen
MESD,ER-Lumen
MINPP1,ER-Lumen
MTDH,ER-Lumen
MYDGF,ER-Lumen
NENF,ER-Lumen
NFXL1,ER-Lumen
NPTX1,ER-Lumen
P3H1,ER-Lumen
P3H4,ER-Lumen
P4HA1,ER-Lumen
P4HA2,ER-Lumen
PDIA3,ER-Lumen
PDIA4,ER-Lumen
PDIA5,ER-Lumen
PDIA6,ER-Lumen
PLOD1,ER-Lumen
PLOD2,ER-Lumen
