Gene Symbol,UserAnnotation,uservalue
ARL6IP1,ER_high_curvature,2
ATL1,ER_high_curvature,2
ATL2,ER_high_curvature,2
ATL3,ER_high_curvature,2
DNAJC5,ER_high_curvature,2
ENDOD1,ER_high_curvature,2
OSBPL3,ER_high_curvature,2
PTPN2,ER_high_curvature,2
RAB18,ER_high_curvature,2
REEP1,ER_high_curvature,2
REEP2,ER_high_curvature,2
REEP3,ER_high_curvature,2
REEP5,ER_high_curvature,2
REEP4,ER_high_curvature,2
REEP6,ER_high_curvature,2
FAM134B,ER_high_curvature,2
RTN1,ER_high_curvature,2
RTN2,ER_high_curvature,2
RTN3,ER_high_curvature,2
RTN4,ER_high_curvature,2
SEC22B,ER_high_curvature,2
LNP,ER_high_curvature,2
ZFYVE27,ER_high_curvature,2
CKAP4,ER_sheet,1
KTN1,ER_sheet,1
RRBP1,ER_sheet,1
CCPG1,Receptor,3
FAM134A,Receptor,3
FAM134C,Receptor,3
TEX264,ER-Membrane,4
SEC62,ER-Membrane,4
FKBP10,ER-Lumen,4
P4HB,ER-Lumen,4
RCN2,ER-Lumen,4
TXNDC12,ER-Lumen,4
ALG6,ER-Lumen,4
ALG8,ER-Lumen,4
BTD,ER-Lumen,4
CALR,ER-Lumen,4
CALU,ER-Lumen,4
CCDC134,ER-Lumen,4
CNPY2,ER-Lumen,4
COL4A2,ER-Lumen,4
COLGALT1,ER-Lumen,4
CRTAP,ER-Lumen,4
DNAJB11,ER-Lumen,4
DNAJC10,ER-Lumen,4
DNAJC3,ER-Lumen,4
EDEM3,ER-Lumen,4
EOGT,ER-Lumen,4
ERAP1,ER-Lumen,4
ERLEC1,ER-Lumen,4
ERO1A,ER-Lumen,4
ERP29,ER-Lumen,4
FKBP14,ER-Lumen,4
FKBP2,ER-Lumen,4
FKBP9,ER-Lumen,4
FNDC3A,ER-Lumen,4
FNDC3B,ER-Lumen,4
GANAB,ER-Lumen,4
HSP90B1,ER-Lumen,4
HSPA5,ER-Lumen,4
HYOU1,ER-Lumen,4
IKBIP,ER-Lumen,4
KDELC1,ER-Lumen,4
KDELC2,ER-Lumen,4
KTN1,ER-Lumen,4
LGALS3BP,ER-Lumen,4
MANF,ER-Lumen,4
MESD,ER-Lumen,4
MINPP1,ER-Lumen,4
MTDH,ER-Lumen,4
MYDGF,ER-Lumen,4
NENF,ER-Lumen,4
NFXL1,ER-Lumen,4
NPTX1,ER-Lumen,4
P3H1,ER-Lumen,4
P3H4,ER-Lumen,4
P4HA1,ER-Lumen,4
P4HA2,ER-Lumen,4
PDIA3,ER-Lumen,4
PDIA4,ER-Lumen,4
PDIA5,ER-Lumen,4
PDIA6,ER-Lumen,4
PLOD1,ER-Lumen,4
PLOD2,ER-Lumen,4
PLOD3,ER-Lumen,4
POFUT1,ER-Lumen,4
POGLUT1,ER-Lumen,4
PPIB,ER-Lumen,4
PRKCSH,ER-Lumen,4
PXDN,ER-Lumen,4
RCN1,ER-Lumen,4
RCN3,ER-Lumen,4
SDF2,ER-Lumen,4
SDF2L1,ER-Lumen,4
SELENOF,ER-Lumen,4
SERPINH1,ER-Lumen,4
SIL1,ER-Lumen,4
SSR1,ER-Lumen,4
SUMF2,ER-Lumen,4
