Gene Symbol,UserAnnotation
ARL6IP1,ER_high_curvature
ATL1,ER_high_curvature
ATL2,ER_high_curvature
ATL3,ER_high_curvature
DNAJC5,ER_high_curvature
ENDOD1,ER_high_curvature
OSBPL3,ER_high_curvature
PTPN2,ER_high_curvature
RAB18,ER_high_curvature
REEP1,ER_high_curvature
REEP2,ER_high_curvature
REEP3,ER_high_curvature
REEP5,ER_high_curvature
REEP4,ER_high_curvature
REEP6,ER_high_curvature
FAM134B,ER_high_curvature
RTN1,ER_high_curvature
RTN2,ER_high_curvature
RTN3,ER_high_curvature
RTN4,ER_high_curvature
SEC22B,ER_high_curvature
LNP,ER_high_curvature
ZFYVE27,ER_high_curvature
CKAP4,ER_sheet
KTN1,ER_sheet
RRBP1,ER_sheet
CCPG1,Receptor
FAM134A,Receptor
FAM134C,Receptor
TEX264,ER-Membrane
SEC62,ER-Membrane
