ComplexName,Reference,Organism
(E.F.G) complex,P62304,human
(E.F.G) complex,P62306,human
(E.F.G) complex,P62308,human
12S U11 snRNP,P14678,human
12S U11 snRNP,P62304,human
12S U11 snRNP,P62306,human
12S U11 snRNP,P62308,human
12S U11 snRNP,P62314,human
12S U11 snRNP,P62316,human
12S U11 snRNP,P62318,human
12S U11 snRNP,P67809,human
12S U11 snRNP,Q16560,human
12S U11 snRNP,Q16629,human
12S U11 snRNP,Q6IEG0,human
12S U11 snRNP,Q8N8D1,human
12S U11 snRNP,Q96GM8,human
12S U11 snRNP,Q9BV90,human
12S U11 snRNP,Q9H875,human
"14-3-3 gamma-CXCR2 complex, unstimulated",P25025,human
"14-3-3 gamma-CXCR2 complex, unstimulated",P61981,human
14-3-3q-SGK1-tau complex,O00141,human
14-3-3q-SGK1-tau complex,P10636,human
14-3-3q-SGK1-tau complex,P27348,human
17S U2 snRNP,O15042,human
17S U2 snRNP,O43143,human
17S U2 snRNP,O75533,human
17S U2 snRNP,O75937,human
17S U2 snRNP,O75940,human
17S U2 snRNP,P08579,human
17S U2 snRNP,P09661,human
17S U2 snRNP,P10809,human
17S U2 snRNP,P14678,human
17S U2 snRNP,P26368,human
17S U2 snRNP,P62304,human
17S U2 snRNP,P62306,human
17S U2 snRNP,P62308,human
17S U2 snRNP,P62314,human
17S U2 snRNP,P62316,human
17S U2 snRNP,P62318,human
17S U2 snRNP,Q01081,human
17S U2 snRNP,Q07955,human
17S U2 snRNP,Q12874,human
17S U2 snRNP,Q12931,human
17S U2 snRNP,Q13435,human
17S U2 snRNP,Q15393,human
17S U2 snRNP,Q15427,human
17S U2 snRNP,Q15428,human
17S U2 snRNP,Q15459,human
17S U2 snRNP,Q7L014,human
17S U2 snRNP,Q7RTV0,human
17S U2 snRNP,Q8IWX8,human
17S U2 snRNP,Q96I25,human
17S U2 snRNP,Q9BWJ5,human
17S U2 snRNP,Q9P0W2,human
17S U2 snRNP,Q9UHX1,human
17S U2 snRNP,Q9Y3B4,human
18S U11/U12 snRNP,O43143,human
18S U11/U12 snRNP,O75533,human
18S U11/U12 snRNP,P14678,human
18S U11/U12 snRNP,P62304,human
18S U11/U12 snRNP,P62306,human
18S U11/U12 snRNP,P62308,human
18S U11/U12 snRNP,P62314,human
18S U11/U12 snRNP,P62316,human
18S U11/U12 snRNP,P62318,human
18S U11/U12 snRNP,P67809,human
18S U11/U12 snRNP,Q13435,human
18S U11/U12 snRNP,Q15393,human
18S U11/U12 snRNP,Q15427,human
18S U11/U12 snRNP,Q15696,human
18S U11/U12 snRNP,Q16560,human
18S U11/U12 snRNP,Q6IEG0,human
18S U11/U12 snRNP,Q6P2Q9,human
18S U11/U12 snRNP,Q8N8D1,human
18S U11/U12 snRNP,Q8TBF4,human
18S U11/U12 snRNP,Q96LT9,human
18S U11/U12 snRNP,Q9BV90,human
18S U11/U12 snRNP,Q9BWJ5,human
18S U11/U12 snRNP,Q9UDW3,human
18S U11/U12 snRNP,Q9Y3B4,human
20S methylosome-SmD complex,O14744,human
20S methylosome-SmD complex,P54105,human
20S methylosome-SmD complex,P62314,human
20S methylosome-SmD complex,P62318,human
20S methylosome and RG-containing Sm protein complex,O14744,human
20S methylosome and RG-containing Sm protein complex,P14678,human
20S methylosome and RG-containing Sm protein complex,P54105,human
20S methylosome and RG-containing Sm protein complex,P62314,human
20S methylosome and RG-containing Sm protein complex,P62316,human
20S methylosome and RG-containing Sm protein complex,P62318,human
20S methyltransferase core complex,O14744,human
20S methyltransferase core complex,P54105,human
20S proteasome,O14818,human
20S proteasome,P20618,human
20S proteasome,P25786,human
20S proteasome,P25787,human
20S proteasome,P25788,human
20S proteasome,P25789,human
20S proteasome,P28066,human
20S proteasome,P28070,human
20S proteasome,P28072,human
20S proteasome,P28074,human
20S proteasome,P49720,human
20S proteasome,P49721,human
20S proteasome,P60900,human
20S proteasome,Q99436,human
26S proteasome,O14818,human
26S proteasome,P17980,human
26S proteasome,P20618,human
26S proteasome,P25786,human
26S proteasome,P25787,human
26S proteasome,P25788,human
26S proteasome,P25789,human
26S proteasome,P28066,human
26S proteasome,P28070,human
26S proteasome,P28072,human
26S proteasome,P28074,human
26S proteasome,P35998,human
26S proteasome,P43686,human
26S proteasome,P49720,human
26S proteasome,P49721,human
26S proteasome,P55036,human
26S proteasome,P60900,human
26S proteasome,P62191,human
26S proteasome,P62195,human
26S proteasome,P62333,human
26S proteasome,Q99436,human
26S proteasome,Q9UNM6,human
"28S ribosomal subunit, mitochondrial",O15235,human
"28S ribosomal subunit, mitochondrial",O60783,human
"28S ribosomal subunit, mitochondrial",P51398,human
"28S ribosomal subunit, mitochondrial",P82650,human
"28S ribosomal subunit, mitochondrial",P82663,human
"28S ribosomal subunit, mitochondrial",P82664,human
"28S ribosomal subunit, mitochondrial",P82673,human
"28S ribosomal subunit, mitochondrial",P82675,human
"28S ribosomal subunit, mitochondrial",P82909,human
"28S ribosomal subunit, mitochondrial",P82912,human
"28S ribosomal subunit, mitochondrial",P82914,human
"28S ribosomal subunit, mitochondrial",P82921,human
"28S ribosomal subunit, mitochondrial",P82930,human
"28S ribosomal subunit, mitochondrial",P82932,human
"28S ribosomal subunit, mitochondrial",P82933,human
"28S ribosomal subunit, mitochondrial",Q92552,human
"28S ribosomal subunit, mitochondrial",Q92665,human
"28S ribosomal subunit, mitochondrial",Q96EL2,human
"28S ribosomal subunit, mitochondrial",Q9BYN8,human
"28S ribosomal subunit, mitochondrial",Q9NP92,human
"28S ribosomal subunit, mitochondrial",Q9NVS2,human
"28S ribosomal subunit, mitochondrial",Q9Y291,human
"28S ribosomal subunit, mitochondrial",Q9Y2Q9,human
"28S ribosomal subunit, mitochondrial",Q9Y2R5,human
"28S ribosomal subunit, mitochondrial",Q9Y2R9,human
"28S ribosomal subunit, mitochondrial",Q9Y399,human
"28S ribosomal subunit, mitochondrial",Q9Y3D3,human
"28S ribosomal subunit, mitochondrial",Q9Y3D5,human
"28S ribosomal subunit, mitochondrial",Q9Y3D9,human
"28S ribosomal subunit, mitochondrial",Q9Y676,human
2AR-mGluR2 complex,P08913,human
2AR-mGluR2 complex,P42262,human
3-Hydroxyacyl CoA dehydrogenase,P40939,human
3-Hydroxyacyl CoA dehydrogenase,P55084,human
3-methylcrotonyl-CoA carboxylase,Q96RQ3,human
3-methylcrotonyl-CoA carboxylase,Q9HCC0,human
"39S ribosomal subunit, mitochondrial",O75394,human
"39S ribosomal subunit, mitochondrial",P09001,human
"39S ribosomal subunit, mitochondrial",P49406,human
"39S ribosomal subunit, mitochondrial",P52815,human
"39S ribosomal subunit, mitochondrial",P83111,human
"39S ribosomal subunit, mitochondrial",Q13084,human
"39S ribosomal subunit, mitochondrial",Q13405,human
"39S ribosomal subunit, mitochondrial",Q16540,human
"39S ribosomal subunit, mitochondrial",Q4U2R6,human
"39S ribosomal subunit, mitochondrial",Q5T653,human
"39S ribosomal subunit, mitochondrial",Q6P161,human
"39S ribosomal subunit, mitochondrial",Q6P1L8,human
"39S ribosomal subunit, mitochondrial",Q7Z2W9,human
"39S ribosomal subunit, mitochondrial",Q7Z7F7,human
"39S ribosomal subunit, mitochondrial",Q7Z7H8,human
"39S ribosomal subunit, mitochondrial",Q86TS9,human
"39S ribosomal subunit, mitochondrial",Q8IXM3,human
"39S ribosomal subunit, mitochondrial",Q8N5N7,human
"39S ribosomal subunit, mitochondrial",Q8N983,human
"39S ribosomal subunit, mitochondrial",Q8TCC3,human
"39S ribosomal subunit, mitochondrial",Q96A35,human
"39S ribosomal subunit, mitochondrial",Q96DV4,human
"39S ribosomal subunit, mitochondrial",Q96EL3,human
"39S ribosomal subunit, mitochondrial",Q96GC5,human
"39S ribosomal subunit, mitochondrial",Q9BQ48,human
"39S ribosomal subunit, mitochondrial",Q9BRJ2,human
"39S ribosomal subunit, mitochondrial",Q9BYC8,human
"39S ribosomal subunit, mitochondrial",Q9BYC9,human
"39S ribosomal subunit, mitochondrial",Q9BYD1,human
"39S ribosomal subunit, mitochondrial",Q9BYD2,human
