,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel
8431,MARCH1,Q5VT66,Mitochondrion-OM,0,1,0,0
8432,MARCH2,Q969Z3,Mitochondrion-OM,0,1,0,0
8829,MARCH5,Q9NX47,Mitochondria,0,1,0,0
9331,MARCH6,O60337,ER,0,0,0,1
10752,SEPT2,Q15019,Large Protein Complex,0,0,0,1
10753,SEPT6,Q14141,Large Protein Complex,0,0,0,1
10754,SEPT7,Q16181,Large Protein Complex,0,0,0,1
11323,SEPT7,Q16181-2,Large Protein Complex,0,0,0,1
11009,SEPT8,Q92599,Large Protein Complex,0,0,0,1
10364,SEPT9,Q9UHD8,Large Protein Complex,0,0,0,1
10750,SEPT10,Q9P0V9,Large Protein Complex,0,0,0,1
10751,SEPT11,Q9NVA2,Large Protein Complex,0,0,0,1
1,A3GALT2,U3KPV4,Golgi,1,0,0,0
2,A4GALT,Q9NPC4,Golgi,1,0,0,0
3,A4GNT,Q9UNA3,Golgi,1,0,0,0
9383,AAAS,Q9NRG9,ER,0,0,0,1
4,AACS,Q86V21,Cytoplasm,1,0,0,0
5,AADAC,P22760,ER,1,0,0,0
6,AADAT,Q8N5Z0,Mitochondria,1,0,0,0
7,AAGAB,Q6PD74,Cytoplasm,1,0,0,0
8,AAK1,Q2M2I8,Plasma membrane,1,0,0,0
10815,AAMP,Q13685,Large Protein Complex,0,0,0,1
9,AANAT,Q16613,Cytoplasm,1,0,0,0
10,AARS1,P49588,Cytoplasm,1,0,0,0
11,AARS2,Q5JTZ9,Mitochondria,1,0,0,0
12,AARSD1,Q9BTE6,Cytoplasm,1,0,0,0
13,AASDHPPT,Q9NRN7,Cytoplasm,1,0,0,0
14,AASS,Q9UDR5,Mitochondria,1,0,0,0
15,AATF,Q9NY61,Nucleus,1,0,0,0
16,ABAT,P80404,Mitochondria,1,0,0,0
8839,ABCA13,Q86UQ4,Mitochondria,0,1,0,0
8138,ABCA2,Q9BZC7,Endosome,0,1,0,0
17,ABCA3,Q99758,Lysosome,1,0,0,0
18,ABCA4,P78363,ER,1,0,0,0
19,ABCA8,O94911,Plasma membrane,1,0,0,0
20,ABCB1,P08183,Plasma membrane,1,0,0,0
21,ABCB10,Q9NRK6,Mitochondria,1,0,0,0
22,ABCB5,Q2M3G0,Plasma membrane,1,0,0,0
8357,ABCB6,Q9NP58,Lysosome,0,1,0,0
23,ABCB7,O75027,Mitochondria,1,0,0,0
24,ABCB8,Q9NUT2,Mitochondria,1,0,0,0
25,ABCB9,Q9NP78,Lysosome,1,0,0,0
26,ABCC1,P33527,Plasma membrane,1,0,0,0
27,ABCC10,Q5T3U5,Plasma membrane,1,0,0,0
28,ABCC2,Q92887,Plasma membrane,1,0,0,0
9655,ABCC3,O15438,Plasma membrane,0,0,0,1
8562,ABCC4,O15439,Plasma membrane,0,1,0,0
8563,ABCC5,O15440,Plasma membrane,0,1,0,0
29,ABCC8,Q09428,Plasma membrane,1,0,0,0
8556,ABCD1,P33897,Peroxisome,0,1,0,0
30,ABCD2,Q9UBJ2,Peroxisome,1,0,0,0
31,ABCD3,P28288,Peroxisome,1,0,0,0
32,ABCD4,O14678,Peroxisome,1,0,0,0
9138,ABCE1,P61221,Endosome,0,0,1,0
11067,ABCF1,Q8NE71,Large Protein Complex,0,0,0,1
8840,ABCF2,Q9UG63,Mitochondria,0,1,0,0
9836,ABCF3,Q9NUQ8,Large Protein Complex,0,0,0,1
9583,ABCG2,Q9UNQ0,Plasma membrane,0,0,0,1
33,ABCG5,Q9H222,Plasma membrane,1,0,0,0
34,ABCG8,Q9H221,Plasma membrane,1,0,0,0
35,ABHD10,Q9NUJ1,Mitochondria,1,0,0,0
8841,ABHD11,Q8NFV4,Mitochondria,0,1,0,0
36,ABHD12,Q8N2K0,ER,1,0,0,0
9157,ABHD13,Q7L211,Endosome,0,0,1,0
11207,ABHD14B,Q96IU4,Large Protein Complex,0,0,0,1
9354,ABHD16A,O95870,ER,0,0,0,1
9059,ABHD17A,Q96GS6,Endosome,0,0,1,0
8139,ABHD17B,Q5VST6,Endosome,0,1,0,0
37,ABHD17C,Q6PCB6,Endosome,1,0,0,0
38,ABHD2,P08910,Plasma membrane,1,0,0,0
8243,ABHD6,Q9BV23,ER-Membrane,0,1,0,0
9837,ABI1,Q8IZP0,Large Protein Complex,0,0,0,1
9838,ABI2,Q9NYB9,Large Protein Complex,0,0,0,1
39,ABI3,Q9P2A4,Cytoplasm,1,0,0,0
40,ABITRAM,Q9NX38,Nucleus,1,0,0,0
10816,ABL1,P00519,Large Protein Complex,0,0,0,1
10519,ABL2,P42684,Large Protein Complex,0,0,0,1
9811,ABLIM1,O14639,Actin binding proteins,0,0,0,1
41,ABLIM3,O94929,Cytoplasm,1,0,0,0
42,ABO,P16442,Golgi,1,0,0,0
11068,ABR,Q12979-2,Large Protein Complex,0,0,0,1
43,ABRAXAS1,Q6UWZ7,Nucleus,1,0,0,0
44,ABT1,Q9ULW3,Nucleus,1,0,0,0
45,ABTB1,Q969K4,Cytoplasm,1,0,0,0
46,ACAA1,P09110,Peroxisome,1,0,0,0
47,ACAA2,P42765,Mitochondria,1,0,0,0
48,ACACA,Q13085,Cytoplasm,1,0,0,0
49,ACACB,O00763,Mitochondria,1,0,0,0
8842,ACAD10,Q6JQN1,Mitochondria,0,1,0,0
