ComplexName,Reference
(E.F.G) complex,P62304
(E.F.G) complex,P62306
(E.F.G) complex,P62308
12S U11 snRNP,P14678
12S U11 snRNP,P62304
12S U11 snRNP,P62306
12S U11 snRNP,P62308
12S U11 snRNP,P62314
12S U11 snRNP,P62316
12S U11 snRNP,P62318
12S U11 snRNP,P67809
12S U11 snRNP,Q16560
12S U11 snRNP,Q16629
12S U11 snRNP,Q6IEG0
12S U11 snRNP,Q8N8D1
12S U11 snRNP,Q96GM8
12S U11 snRNP,Q9BV90
12S U11 snRNP,Q9H875
"14-3-3 gamma-CXCR2 complex, unstimulated",P25025
"14-3-3 gamma-CXCR2 complex, unstimulated",P61981
14-3-3q-SGK1-tau complex,O00141
14-3-3q-SGK1-tau complex,P10636
14-3-3q-SGK1-tau complex,P27348
17S U2 snRNP,O15042
17S U2 snRNP,O43143
17S U2 snRNP,O75533
17S U2 snRNP,O75937
17S U2 snRNP,O75940
17S U2 snRNP,P08579
17S U2 snRNP,P09661
17S U2 snRNP,P10809
17S U2 snRNP,P14678
17S U2 snRNP,P26368
17S U2 snRNP,P62304
17S U2 snRNP,P62306
17S U2 snRNP,P62308
17S U2 snRNP,P62314
17S U2 snRNP,P62316
17S U2 snRNP,P62318
17S U2 snRNP,Q01081
17S U2 snRNP,Q07955
17S U2 snRNP,Q12874
17S U2 snRNP,Q12931
17S U2 snRNP,Q13435
17S U2 snRNP,Q15393
17S U2 snRNP,Q15427
17S U2 snRNP,Q15428
17S U2 snRNP,Q15459
17S U2 snRNP,Q7L014
17S U2 snRNP,Q7RTV0
17S U2 snRNP,Q8IWX8
17S U2 snRNP,Q96I25
17S U2 snRNP,Q9BWJ5
17S U2 snRNP,Q9P0W2
17S U2 snRNP,Q9UHX1
17S U2 snRNP,Q9Y3B4
18S U11/U12 snRNP,O43143
18S U11/U12 snRNP,O75533
18S U11/U12 snRNP,P14678
18S U11/U12 snRNP,P62304
18S U11/U12 snRNP,P62306
18S U11/U12 snRNP,P62308
18S U11/U12 snRNP,P62314
18S U11/U12 snRNP,P62316
18S U11/U12 snRNP,P62318
18S U11/U12 snRNP,P67809
18S U11/U12 snRNP,Q13435
